category,technique_name,description,facilitation_prompts,best_for,energy_level,typical_duration
discovery,Problem Space Mapping,Explore the landscape of your research interest by mapping related problems and challenges - reveals the broader context and potential angles,What problem fascinates you?|Why does this matter?|Who else cares about this?|What happens if unsolved?,initial-exploration,moderate,5-8
discovery,Gap Hunter,Identify what's missing in current knowledge by examining what exists and what doesn't - pinpoints specific research opportunities,What do we already know about this?|What's still unclear or debated?|Where do experts disagree?|What hasn't been tried?,gap-identification,moderate,5-8
discovery,Curiosity Cascade,Follow your natural curiosity through chains of "why" and "what if" questions - uncovers deeper research motivations,What makes you curious about this?|Why is that interesting?|What would you want to discover?|What would surprise you?,motivation-finding,high,3-5
refinement,Question Sharpening,Transform vague interests into precise research questions using specificity filters - creates actionable research questions,What specifically do you want to know?|Can you make this more concrete?|What would an answer look like?|How would you measure success?,question-clarity,moderate,5-8
refinement,Scope Calibration,Find the right size for your research question - not too broad to be meaningless or too narrow to matter,Is this too big to answer?|Is this too small to matter?|What's the core question?|What can we realistically explore?,scope-setting,low,3-5
refinement,Assumption Excavation,Dig out hidden assumptions in your research thinking - reveals biases and alternative framings,What are you assuming is true?|What if that assumption is wrong?|What other ways could we frame this?|Challenge your premise,assumption-check,moderate,5-8
connection,Cross-Domain Bridge,Connect your research interest to other fields or domains - finds unexpected approaches and methodologies,What other fields study similar problems?|What techniques from other domains might apply?|Who else solves problems like this?,interdisciplinary,high,5-8
connection,Paper Trail Exploration,Trace the lineage of ideas to find foundational and cutting-edge work - identifies key papers to reference,What's the seminal work in this area?|Who are the key researchers?|What recent breakthroughs relate to this?|What papers would you start with?,literature-mapping,moderate,5-8
connection,Method Matching,Match your research question to appropriate methodologies and approaches - identifies how to investigate,How could we investigate this?|What methods fit this question?|What data would we need?|What approach makes sense?,methodology,moderate,5-8
validation,Devil's Advocate,Challenge your research question from skeptical perspectives - strengthens the question by addressing weaknesses,Why might this research fail?|What's the strongest criticism?|Why might reviewers reject this?|What's the fatal flaw?,stress-testing,high,5-8
validation,So What Test,Verify the significance and impact of your research question - ensures the research matters,Why should anyone care?|What's the real-world impact?|How does this advance the field?|What changes if we answer this?,significance,moderate,3-5
validation,Feasibility Check,Assess whether the research question can realistically be answered - ensures practical viability,Do we have the resources?|Is the data available?|What's the timeline?|What skills are needed?,practicality,low,3-5
synthesis,Question Family Tree,Generate multiple related questions from a core interest - creates a research agenda,What's your main question?|What sub-questions support it?|What related questions emerge?|Build the question hierarchy,question-generation,moderate,5-8
synthesis,Research Story Arc,Frame your research as a narrative with problem/approach/impact - creates compelling research framing,What's the problem story?|What's your proposed approach?|What's the impact vision?|Tell the research story,narrative-framing,high,5-8
synthesis,Phase 1 Ready Check,Verify the research question is ready for systematic investigation - final preparation for Phase 1,Is the question clear and specific?|Do we have starting references?|Are sub-questions defined?|Ready for deep research?,final-check,low,3-5
