backbone,task,snapshot,level,classification_reason
Sonnet 4.5,bi_align,20260317T015503_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,bi_align,20260317T035349_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,data_problems,20260317T000000_reflection_recovery,reset,_ARCHIVED.md reason=ROUTE_TO_0
Sonnet 4.5,data_problems,20260317T035502_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,data_problems,20260317T071603_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,dl4c,20260317T102704_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,dl4c,20260317T135008_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,dl4c,20260317T155940_routing_recovery,redesign,_ARCHIVED.md route_target='Phase 2A-Dialogue'
Sonnet 4.5,dl4c,20260317T180634_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,dl4c,20260317T220333_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,dl4c,20260318T071916_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,dl4c,20260318T144700_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,dl4c,20260318T164428_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,mldpr,20260318T011518_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,mldpr,20260318T030055_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,mldpr,20260318T055954_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,question,20260319T065654_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,question,20260320_173028_v2_supersede,unclass,no_yaml
Sonnet 4.5,question,20260320T001022_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,question,20260320T021456_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,question,20260320T123403_routing_recovery,redesign,_ARCHIVED.md route_target='Phase 2A-Dialogue'
Sonnet 4.5,question,20260320T170829_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,question,20260320T212654_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,question,20260320T231347_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,scsl,20260319T061933_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,scsl,20260319T091925_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.5,scsl,20260319T104255_routing_recovery,redesign,_ARCHIVED.md route_target='Phase 2A-Dialogue'
Sonnet 4.5,scsl,20260319T212428_reflection_recovery,reset,_ARCHIVED.md reason=ROUTE_TO_0
Sonnet 4.5,verifai,20260318T123317_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,bi_align,20260324T051401_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,bi_align,20260324T065242_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,bi_align,20260324T083029_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,buildingtrust,20260323T044813_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,buildingtrust,20260323T070744_routing_recovery,redesign,_ARCHIVED.md route_target='Phase 2A-Dialogue'
Opus 4.5,buildingtrust,20260323T105528_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,buildingtrust,20260323T152437_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,buildingtrust,20260324T000423_reflection_recovery,reset,_ARCHIVED.md reason=ROUTE_TO_0
Opus 4.5,buildingtrust,20260324T034204_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,buildingtrust,20260324T144147_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,data_problems,20260323T032533_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,data_problems,20260324T031241_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,data_problems,20260324T155221_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,dl4c,20260323T094925_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,dl4c,20260323T200050_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,dl4c,20260324T022111_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,dl4c,20260324T114502_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,mldpr,20260325T020131_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,mldpr,20260325T040044_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,mldpr,20260325T095737_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,mldpr,20260325T153010_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,mldpr,20260326T031301_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,mldpr,20260327T061205_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,question,20260325T062259_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,question,20260326T104200_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,question,20260326T135606_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,question,20260326T234738_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,question,20260327T030128_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,question,20260327T211741_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,question,20260328T051056_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,question,20260328T100045_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,question,20260328T125052_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,question,20260328T193559_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,question,20260329T054316_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,scope,20260327T075445_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,scope,20260327T163636_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,scope,20260327T191752_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,scsl,20260414T024048_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,scsl,20260414T061409_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Opus 4.5,scsl,20260414T075748_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.6,bi_align,20260314T180709_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.6,bi_align,20260314T201129_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.6,buildingtrust,20260314T222605_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.6,dl4c,20260315T123437_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.6,mldpr,20260315T021506_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.6,question,20260315T093900_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.6,question,20260315T120259_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.6,question,20260315T162304_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.6,question,20260316T132830_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.6,scope,20260508T025947_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.6,scope,20260508T053404_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.6,scsl,20260316T123237_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.6,scsl,20260316T161456_routing_recovery,redesign,_ARCHIVED.md route_target='Phase 2A-Dialogue'
Sonnet 4.6,scsl,20260316T200232_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.6,verifai,20260317T130543_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.6,verifai,20260317T153956_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.6,verifai,20260318T020827_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
Sonnet 4.6,wsl,20260316T095529_routing_recovery,reset,_ARCHIVED.md route_target='Phase 0'
