model,expertise,ai_accuracy,collaborative_accuracy,appropriate_reliance_rate,over_reliance_rate,under_reliance_rate,override_rate,unique_contribution
Baseline,novice,0.54666668176651,0.567555558681488,0.5675555750727653,0.3991111099720001,0.017333333566784858,0.07155555561184883,0.03822222203016281
Baseline,intermediate,0.54666668176651,0.5915555596351624,0.5915555626153945,0.32799999713897704,0.035111111029982565,0.16044444739818572,0.07999999821186066
Baseline,expert,0.54666668176651,0.6422222256660461,0.6422222122550011,0.3097777724266052,0.030222222208976746,0.17377777695655822,0.12577777951955796
Transparency+,novice,0.5733333230018616,0.5826666593551636,0.5826666779816151,0.37733333706855776,0.022666667215526105,0.07200000137090683,0.03200000002980232
Transparency+,intermediate,0.5733333230018616,0.6111111044883728,0.6111111029982567,0.2986666738986969,0.053333332389593126,0.1813333362340927,0.09111111015081405
Transparency+,expert,0.5733333230018616,0.6542222142219544,0.6542222335934639,0.28711110949516294,0.034666667133569716,0.17422221899032592,0.1155555561184883
MCF-Static,novice,0.4933333396911621,0.5244444370269775,0.5244444459676743,0.3902222216129303,0.043111111596226694,0.1595555543899536,0.07422222197055817
MCF-Static,intermediate,0.4933333396911621,0.5688888907432557,0.5688888922333717,0.29200000166893003,0.07022222429513932,0.28488889336586,0.14577777534723282
MCF-Static,expert,0.4933333396911621,0.6533333420753479,0.6533333361148834,0.27244445085525515,0.035111111402511594,0.26933333575725554,0.19511111378669738
MCF-Full,novice,0.5733333230018616,0.5946666598320007,0.594666663557291,0.32177777886390685,0.04844444431364536,0.1533333331346512,0.06977777853608132
MCF-Full,intermediate,0.5733333230018616,0.6168888807296753,0.6168889045715332,0.25555555522441864,0.07155555635690689,0.2426666647195816,0.11511111259460449
MCF-Full,expert,0.5733333230018616,0.6755555629730224,0.6755555450916291,0.2395555555820465,0.052888888493180276,0.24000000059604645,0.1551111102104187
