method,n_datasets,mean_time,std_time,time_per_dataset
DDHS,50,0.003658850987752279,0.00016221452228200098,7.317701975504558e-05
DDHS,100,0.007104317347208659,0.0001246851415582517,7.10431734720866e-05
DDHS,200,0.0139921506245931,6.649451950755002e-05,6.99607531229655e-05
DDHS,500,0.03461472193400065,0.0001042632430247445,6.92294438680013e-05
Downloads-Only,50,0.00015918413798014322,5.959934634924785e-06,3.183682759602864e-06
Downloads-Only,100,0.00032289822896321613,1.1800047138349224e-05,3.2289822896321614e-06
Downloads-Only,200,0.0006194909413655599,1.5593296064168754e-05,3.0974547068277996e-06
Downloads-Only,500,0.0015409787495930989,2.607775679595527e-05,3.0819574991861977e-06
Static-Weighted,50,0.008575995763142904,0.0001866882262737081,0.0001715199152628581
Static-Weighted,100,0.016039133071899414,0.0001202491862152294,0.00016039133071899414
Static-Weighted,200,0.03126978874206543,6.68332257403243e-05,0.00015634894371032714
Static-Weighted,500,0.07751242319742839,3.242629023409108e-05,0.0001550248463948568
