subtask,n_items,n_contaminated,rate
abstract_algebra,100,1,0.01
anatomy,135,8,0.05925925925925926
astronomy,152,7,0.046052631578947366
business_ethics,100,8,0.08
clinical_knowledge,265,24,0.09056603773584905
college_biology,144,7,0.04861111111111111
college_chemistry,100,4,0.04
college_computer_science,100,7,0.07
college_mathematics,100,2,0.02
college_medicine,173,17,0.09826589595375723
college_physics,102,2,0.0196078431372549
computer_security,100,7,0.07
conceptual_physics,235,12,0.05106382978723404
econometrics,114,5,0.043859649122807015
electrical_engineering,145,10,0.06896551724137931
elementary_mathematics,378,11,0.0291005291005291
formal_logic,126,2,0.015873015873015872
global_facts,100,13,0.13
high_school_biology,310,19,0.06129032258064516
high_school_chemistry,203,10,0.04926108374384237
high_school_computer_science,100,2,0.02
high_school_european_history,165,20,0.12121212121212122
high_school_geography,198,10,0.050505050505050504
high_school_government_and_politics,193,15,0.07772020725388601
high_school_macroeconomics,390,11,0.028205128205128206
high_school_mathematics,270,1,0.003703703703703704
high_school_microeconomics,238,6,0.025210084033613446
high_school_physics,151,3,0.019867549668874173
high_school_psychology,545,36,0.06605504587155964
high_school_statistics,216,6,0.027777777777777776
high_school_us_history,204,22,0.10784313725490197
high_school_world_history,237,24,0.10126582278481013
human_aging,223,21,0.09417040358744394
human_sexuality,131,9,0.06870229007633588
international_law,121,13,0.10743801652892562
jurisprudence,108,11,0.10185185185185185
logical_fallacies,163,9,0.05521472392638037
machine_learning,112,4,0.03571428571428571
management,103,13,0.1262135922330097
marketing,234,21,0.08974358974358974
medical_genetics,100,6,0.06
miscellaneous,783,71,0.09067688378033206
moral_disputes,346,21,0.06069364161849711
moral_philosophy,334,25,0.0748502994011976
nutrition,306,26,0.08496732026143791
philosophy,311,24,0.07717041800643087
prehistory,324,21,0.06481481481481481
professional_accounting,282,14,0.04964539007092199
professional_law,1534,203,0.13233376792698825
professional_medicine,272,47,0.17279411764705882
professional_psychology,612,52,0.08496732026143791
public_relations,110,5,0.045454545454545456
security_studies,245,25,0.10204081632653061
sociology,201,10,0.04975124378109453
us_foreign_policy,100,12,0.12
virology,166,2,0.012048192771084338
world_religions,171,12,0.07017543859649122
hellaswag,10042,391,0.03893646683927505
bbh,6511,212,0.03256028259867916
