checkpoint_idx,epoch,delta_seed1,delta_seed2,delta_seed3
0,0,0.02083333395421505,0.03333333507180214,0.01666666753590107
1,2,0.02500000037252903,0.0,0.004166666883975267
2,4,0.008333333767950535,-0.004166666883975267,-0.012500000186264515
3,6,0.008333333767950535,0.004166666883975267,-0.008333333767950535
4,8,-0.008333333767950535,-0.02500000037252903,-0.02500000037252903
5,10,0.0,-0.01666666753590107,-0.03333333507180214
6,12,0.0,-0.02083333395421505,-0.03333333507180214
7,14,-0.004166666883975267,-0.02916666679084301,-0.03750000149011612
8,16,-0.01666666753590107,-0.02083333395421505,-0.02916666679084301
9,18,-0.004166666883975267,-0.02083333395421505,-0.0416666679084301
10,20,-0.004166666883975267,-0.03333333507180214,-0.03333333507180214
11,22,-0.008333333767950535,-0.03750000149011612,-0.03750000149011612
12,24,-0.01666666753590107,-0.03333333507180214,-0.0416666679084301
13,26,0.0,-0.03333333507180214,-0.0416666679084301
14,28,-0.01666666753590107,-0.01666666753590107,-0.04583333432674408
