model_id,ECE,ECE_ci_lower,ECE_ci_upper,n_samples
meta-llama/Llama-2-7b-hf,0.2799422040534471,0.25550707037343945,0.31175072887567484,1172
meta-llama/Llama-2-13b-hf,0.23068785584998297,0.20487743604182607,0.25960317195464766,1172
meta-llama/Llama-2-70b-hf,0.17541163531864717,0.1551693117480981,0.20471835588913695,1172
meta-llama/Llama-2-13b-chat-hf,0.3960817045948606,0.36727925960195146,0.4247546493463505,1172
meta-llama/Llama-2-70b-chat-hf,0.3825088830909535,0.35596359458705173,0.4115996357881868,1172
mistralai/Mistral-7B-v0.1,0.22908079436821024,0.20458612521941516,0.25768015878209327,1172
mistralai/Mistral-7B-Instruct-v0.2,0.3130278013668102,0.2870215040934248,0.3414177868655264,1172
lmsys/vicuna-7b-v1.5,0.3420255312731154,0.31722405077922594,0.37265661063258454,1172
meta-llama/Meta-Llama-3-8B,0.24926914161383762,0.22298882782319843,0.27752525734917505,1172
meta-llama/Meta-Llama-3-70B,0.1738344912352332,0.1542298109922541,0.20247700030490626,1172
meta-llama/Meta-Llama-3-70B-Instruct,0.2521646355448166,0.22893643271090514,0.2796273351671077,1172
mistralai/Mistral-7B-v0.3,0.2333115787561422,0.21088065132794395,0.26326300103771116,1172
HuggingFaceH4/zephyr-7b-beta,0.3143708584673797,0.2894383194382706,0.3435842819529366,1172
openchat/openchat-3.5-0106,0.30124859753397126,0.27565224332540655,0.33043883365697796,1172
teknium/OpenHermes-2.5-Mistral-7B,0.3057255213170594,0.2788747059579427,0.33322233406264745,1172
Qwen/Qwen1.5-7B,0.27398604295318807,0.24776243904802583,0.30351695568076115,1172
Qwen/Qwen1.5-14B,0.2628765331681935,0.2376346926921763,0.29189602863570524,1172
Qwen/Qwen1.5-7B-Chat,0.4162530753891419,0.3888317430227678,0.44541691107905196,1172
Qwen/Qwen1.5-14B-Chat,0.3543486365151781,0.3278623809628871,0.3829955088700898,1172
Qwen/Qwen2-7B,0.23617530435449435,0.21137740627846902,0.2646916537917097,1172
Qwen/Qwen2-7B-Instruct,0.29880448386638725,0.27493165390635854,0.32843986459914365,1172
google/gemma-7b,0.22984218106541643,0.20788794153213375,0.2603351244152653,1172
google/gemma-7b-it,0.40884333801089645,0.38053337262502335,0.43853299378384997,1172
tiiuae/falcon-7b,0.30903022737316227,0.28046248880484737,0.33900256159845704,1172
tiiuae/falcon-40b,0.2059996598655363,0.18286763413367407,0.23580376948992493,1172
mosaicml/mpt-7b,0.3186076510212367,0.29053142060872167,0.348369684774637,1172
stabilityai/stablelm-zephyr-3b,0.47153023473302186,0.4425596990766767,0.500906280825622,1172
upstage/SOLAR-10.7B-v1.0,0.2469307398272912,0.22013082982008247,0.27451051656164127,1172
upstage/SOLAR-10.7B-Instruct-v1.0,0.31892990139577465,0.29422756997516764,0.3477386054376543,1172
microsoft/phi-2,0.2724157437061737,0.24630457594321845,0.3004177769332275,1172
